Store,Dept,Date,IsHoliday_x,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_y,Type,Size
1,1,2010-02-05,False,42.31,2.572,,,,,,211.0963582,8.106,False,A,151315
1,1,2010-02-12,False,38.51,2.548,,,,,,211.2421698,8.106,True,A,151315
1,1,2010-02-19,False,39.93,2.514,,,,,,211.2891429,8.106,False,A,151315
1,1,2010-02-26,True,46.63,2.561,,,,,,211.3196429,8.106,False,A,151315
1,1,2010-03-05,False,46.5,2.625,,,,,,211.3501429,8.106,False,A,151315
1,1,2010-03-12,False,57.79,2.667,,,,,,211.3806429,8.106,False,A,151315
1,1,2010-03-19,False,54.58,2.72,,,,,,211.215635,8.106,False,A,151315
1,1,2010-03-26,False,51.45,2.732,,,,,,211.0180424,8.106,False,A,151315
1,1,2010-04-02,True,62.27,2.719,,,,,,210.8204499,7.808,False,A,151315
1,1,2010-04-09,False,65.86,2.77,,,,,,210.6228574,7.808,False,A,151315
1,1,2010-04-16,False,66.32,2.808,,,,,,210.4887,7.808,False,A,151315
1,1,2010-04-23,False,64.84,2.795,,,,,,210.4391228,7.808,False,A,151315
1,1,2010-04-30,False,67.41,2.78,,,,,,210.3895456,7.808,False,A,151315
1,1,2010-05-07,False,72.55,2.835,,,,,,210.3399684,7.808,False,A,151315
1,1,2010-05-14,True,74.78,2.854,,,,,,210.3374261,7.808,False,A,151315
1,1,2010-05-21,False,76.44,2.826,,,,,,210.6170934,7.808,False,A,151315
1,1,2010-05-28,False,80.44,2.759,,,,,,210.8967606,7.808,False,A,151315
1,1,2010-06-04,False,80.69,2.705,,,,,,211.1764278,7.808,False,A,151315
1,1,2010-06-11,False,80.43,2.668,,,,,,211.4560951,7.808,False,A,151315
1,1,2010-06-18,False,84.11,2.637,,,,,,211.4537719,7.808,False,A,151315
1,1,2010-06-25,False,84.34,2.653,,,,,,211.3386526,7.808,False,A,151315
1,1,2010-07-02,False,80.91,2.669,,,,,,211.2235333,7.787,False,A,151315
1,1,2010-07-09,False,80.48,2.642,,,,,,211.108414,7.787,False,A,151315
1,1,2010-07-16,False,83.15,2.623,,,,,,211.1003854,7.787,False,A,151315
1,1,2010-07-23,False,83.36,2.608,,,,,,211.2351443,7.787,False,A,151315
1,1,2010-07-30,False,81.84,2.64,,,,,,211.3699032,7.787,False,A,151315
1,1,2010-08-06,False,87.16,2.627,,,,,,211.5046621,7.787,False,A,151315
1,1,2010-08-13,False,87.0,2.692,,,,,,211.6394211,7.787,False,A,151315
1,1,2010-08-20,False,86.65,2.664,,,,,,211.6033633,7.787,False,A,151315
1,1,2010-08-27,False,85.22,2.619,,,,,,211.5673056,7.787,False,A,151315
1,1,2010-09-03,False,81.21,2.577,,,,,,211.5312479,7.787,False,A,151315
1,1,2010-09-10,False,78.69,2.565,,,,,,211.4951902,7.787,True,A,151315
1,1,2010-09-17,False,82.11,2.582,,,,,,211.5224596,7.787,False,A,151315
1,1,2010-09-24,False,80.94,2.624,,,,,,211.5972246,7.787,False,A,151315
1,1,2010-10-01,False,71.89,2.603,,,,,,211.6719895,7.838,False,A,151315
1,1,2010-10-08,False,63.93,2.633,,,,,,211.7467544,7.838,False,A,151315
1,1,2010-10-15,False,67.18,2.72,,,,,,211.8137436,7.838,False,A,151315
1,1,2010-10-22,False,69.86,2.725,,,,,,211.8612937,7.838,False,A,151315
1,1,2010-10-29,False,69.64,2.716,,,,,,211.9088438,7.838,False,A,151315
1,2,2010-11-05,False,58.74,2.689,,,,,,211.9563939,7.838,False,A,151315
1,2,2010-11-12,False,59.61,2.728,,,,,,212.003944,7.838,False,A,151315
1,2,2010-11-19,False,51.41,2.771,,,,,,211.8896737,7.838,False,A,151315
1,2,2010-11-26,True,64.52,2.735,,,,,,211.7484333,7.838,True,A,151315
1,2,2010-12-03,False,49.27,2.708,,,,,,211.607193,7.838,False,A,151315
1,2,2010-12-10,False,46.33,2.843,,,,,,211.4659526,7.838,False,A,151315
1,2,2010-12-17,False,49.84,2.869,,,,,,211.4053124,7.838,False,A,151315
1,2,2010-12-24,False,52.33,2.886,,,,,,211.4051222,7.838,False,A,151315
1,2,2010-12-31,True,48.43,2.943,,,,,,211.4049321,7.838,True,A,151315
1,2,2011-01-07,False,48.27,2.976,,,,,,211.4047419,7.742,False,A,151315
1,2,2011-01-14,False,35.4,2.983,,,,,,211.4574109,7.742,False,A,151315
1,2,2011-01-21,False,44.04,3.016,,,,,,211.8272343,7.742,False,A,151315
1,2,2011-01-28,False,43.83,3.01,,,,,,212.1970577,7.742,False,A,151315
1,2,2011-02-04,False,42.27,2.989,,,,,,212.5668812,7.742,False,A,151315
1,2,2011-02-11,True,36.39,3.022,,,,,,212.9367046,7.742,True,A,151315
1,2,2011-02-18,False,57.36,3.045,,,,,,213.2478853,7.742,False,A,151315
1,2,2011-02-25,False,62.9,3.065,,,,,,213.535609,7.742,False,A,151315
1,2,2011-03-04,False,59.58,3.288,,,,,,213.8233327,7.742,False,A,151315
1,2,2011-03-11,False,53.56,3.459,,,,,,214.1110564,7.742,False,A,151315
1,2,2011-03-18,False,62.76,3.488,,,,,,214.3627114,7.742,False,A,151315
1,2,2011-03-25,False,69.97,3.473,,,,,,214.5999389,7.742,False,A,151315
1,2,2011-04-01,False,59.17,3.524,,,,,,214.8371664,7.682,False,A,151315
1,2,2011-04-08,False,67.84,3.622,,,,,,215.0743939,7.682,False,A,151315
1,2,2011-04-15,False,71.27,3.743,,,,,,215.2918561,7.682,False,A,151315
1,2,2011-04-22,False,72.99,3.807,,,,,,215.4599053,7.682,False,A,151315
1,2,2011-04-29,False,72.03,3.81,,,,,,215.6279544,7.682,False,A,151315
1,2,2011-05-06,False,64.61,3.906,,,,,,215.7960035,7.682,False,A,151315
1,2,2011-05-13,False,75.64,3.899,,,,,,215.9640526,7.682,False,A,151315
1,2,2011-05-20,False,67.63,3.907,,,,,,215.7339202,7.682,False,A,151315
1,2,2011-05-27,False,77.72,3.786,,,,,,215.5037878,7.682,False,A,151315
1,2,2011-06-03,False,83.0,3.699,,,,,,215.2736553,7.682,False,A,151315
1,2,2011-06-10,False,83.13,3.648,,,,,,215.0435229,7.682,False,A,151315
1,2,2011-06-17,False,86.41,3.637,,,,,,214.9980596,7.682,False,A,151315
